Issuing Agency,Violation count,Violation category,Violation Code
1,2,Parking,17
1,17,Parking,20
1,2,Parking,21
1,3,Parking,24
1,42,Parking,27
1,1,Others,40
1,20,Vehicle number plate expiration,70
1,26,Vehicle number plate expiration,71
1,2,Vehicle number plate expiration,74
1,1,Vehicle number plate expiration,83
3,48,Others,9
3,151,Parking,14
3,1,Parking,15
3,24,Parking,16
3,151,Parking,17
3,17,Parking,18
3,200,Parking,19
3,1225,Parking,20
3,11,Parking,21
3,30,Parking,27
3,3,Parking,31
3,37,Vehicle meter expiration,37
3,689,Vehicle meter expiration,38
3,5,Others,39
3,147,Others,40
3,3,Others,41
3,15,Lane violation,45
3,58,Parking,46
3,91,Lane violation,48
3,31,Lane violation,50
3,34,Lane violation,51
3,45,Lane violation,53
3,1,Others,57
3,13,Parking,60
3,5,Traffice signals,61
3,9,Others,62
3,1,Lane violation,64
3,10,Lane violation,66
3,8,Lane violation,67
3,29,Others,68
3,23,Vehicle number plate expiration,70
3,29,Vehicle number plate expiration,71
3,7,Vehicle number plate expiration,74
3,1,Vehicle number plate expiration,75
3,39,Others,98
4,7,Parking,14
4,1,Parking,17
4,9,Parking,21
4,4,Parking,27
4,34,Others,40
4,1,Parking,46
4,2,Lane violation,51
4,9,Traffice signals,61
4,1,Lane violation,67
4,2,Others,68
4,7,Vehicle number plate expiration,70
4,6,Vehicle number plate expiration,71
4,3,Vehicle number plate expiration,74
4,2,Vehicle number plate expiration,75
4,3,Others,78
4,1,Vehicle number plate expiration,83
4,20,Others,98
8,11,Parking,13
8,236,Parking,14
8,14,Parking,16
8,105,Parking,17
8,393,Parking,19
8,115,Parking,20
8,12,Parking,21
8,3,Parking,22
8,3,Parking,23
8,31,Parking,24
8,1,Parking,27
8,825,Others,40
8,1,Others,41
8,113,Parking,46
8,2,Traffice signals,49
8,6,Lane violation,50
8,38,Lane violation,51
8,1,Lane violation,52
8,12,Lane violation,53
8,1,Parking,60
8,2,Others,62
8,163,Lane violation,67
8,33,Vehicle number plate expiration,70
8,33,Vehicle number plate expiration,71
8,48,Vehicle number plate expiration,74
8,1,Vehicle number plate expiration,75
8,1,Vehicle number plate expiration,83
8,55,Others,98
8,28,Others,99
9,2,Others,6
9,1,Others,9
9,1,Traffice signals,10
9,34,Parking,14
9,7,Parking,16
9,2,Parking,17
9,20,Parking,19
9,10,Parking,20
9,16,Parking,21
9,4,Parking,24
9,1,Parking,27
9,2,Vehicle meter expiration,38
9,142,Others,40
9,8,Others,41
9,58,Parking,46
9,8,Lane violation,48
9,8,Lane violation,50
9,17,Lane violation,51
9,1,Parking,60
9,1,Lane violation,66
9,12,Lane violation,67
9,17,Vehicle number plate expiration,70
9,10,Vehicle number plate expiration,71
9,1,Vehicle number plate expiration,73
9,404,Vehicle number plate expiration,74
9,6,Vehicle number plate expiration,75
9,5,Parking,77
9,42,Others,78
9,2,Vehicle number plate expiration,82
9,3,Vehicle number plate expiration,83
9,12,Others,85
9,114,Others,98
9,35,Others,99
A,1,Others,9
A,3,Traffice signals,10
A,1659,Parking,14
A,10,Parking,16
A,5,Parking,17
A,66,Parking,19
A,134,Parking,20
A,36,Parking,21
A,1,Parking,23
A,74,Parking,27
A,5,Parking,31
A,2,Others,39
A,5,Others,40
A,12,Others,41
A,5,Lane violation,45
A,52,Parking,46
A,1,Lane violation,51
A,1,Lane violation,53
A,2,Others,62
A,7,Lane violation,67
A,7,Others,68
A,121,Vehicle number plate expiration,70
A,181,Vehicle number plate expiration,71
A,45,Vehicle number plate expiration,74
A,1,Parking,87
A,4,Others,99
B,19,Parking,14
B,6,Parking,17
B,11,Parking,20
B,1,Parking,24
B,1,Vehicle meter expiration,34
B,1,Others,40
B,1,Parking,46
B,2,Others,98
C,2,Others,9
C,2,Traffice signals,10
C,163,Parking,14
C,9,Parking,17
C,34,Parking,19
C,10,Parking,20
C,11,Parking,21
C,12,Parking,27
C,1,Parking,33
C,2,Vehicle meter expiration,37
C,3,Vehicle meter expiration,38
C,370,Others,40
C,395,Parking,46
C,1,Lane violation,48
C,28,Lane violation,50
C,9,Lane violation,51
C,16,Lane violation,53
C,2,Parking,60
C,24,Lane violation,67
C,26,Others,68
C,29,Vehicle number plate expiration,70
C,22,Vehicle number plate expiration,71
C,28,Vehicle number plate expiration,74
C,11,Vehicle number plate expiration,75
C,3,Others,78
C,1,Parking,87
C,1,Lane violation,96
C,83,Others,98
C,4,Others,99
E,6,Parking,14
E,3,Parking,20
E,1,Others,40
E,1,Vehicle number plate expiration,70
E,2,Others,98
F,15,Others,9
F,1,Traffice signals,10
F,290,Parking,14
F,1,Parking,16
F,114,Parking,17
F,2,Parking,19
F,9,Parking,20
F,7,Parking,21
F,2,Parking,24
F,2,Parking,27
F,1,Parking,31
F,68,Others,40
F,1,Others,41
F,17,Parking,46
F,31,Lane violation,51
F,9,Lane violation,67
F,1,Vehicle number plate expiration,70
F,1,Vehicle number plate expiration,71
F,4,Vehicle number plate expiration,74
F,1,Vehicle number plate expiration,75
F,1,Others,98
G,1,Others,9
G,2,Parking,13
G,21,Parking,14
G,2,Parking,16
G,2,Parking,18
G,14,Parking,19
G,3,Parking,22
G,5,Parking,23
G,22,Others,40
G,2,Others,41
G,20,Parking,46
G,2,Lane violation,50
G,2,Lane violation,67
G,5,Vehicle number plate expiration,70
G,4,Vehicle number plate expiration,71
G,1,Others,98
G,1,Others,99
H,1,Parking,20
J,43,Parking,17
