Issue Date,Violation Code,violoation count per county,Fine amount,Monthly fine amt,Violation County
2023-01-01,7,728,50,36400,BK
2023-01-01,36,9379,50,468950,BK
2023-01-01,7,200,50,10000,BX
2023-01-01,14,53,115,6095,BX
2023-01-01,16,3,95,285,BX
2023-01-01,17,1,95,95,BX
2023-01-01,19,9,115,1035,BX
2023-01-01,20,51,65,3315,BX
2023-01-01,21,8,65,520,BX
2023-01-01,24,1,65,65,BX
2023-01-01,36,3975,50,198750,BX
2023-01-01,40,65,115,7475,BX
2023-01-01,41,1,0,0,BX
2023-01-01,46,36,115,4140,BX
2023-01-01,48,1,115,115,BX
2023-01-01,50,2,115,230,BX
2023-01-01,51,2,115,230,BX
2023-01-01,67,5,165,825,BX
2023-01-01,70,16,65,1040,BX
2023-01-01,71,68,65,4420,BX
2023-01-01,74,18,65,1170,BX
2023-01-01,75,2,65,130,BX
2023-01-01,98,17,95,1615,BX
2023-01-01,99,1,105,105,BX
2023-01-01,6,2,265,530,K
2023-01-01,9,1,115,115,K
2023-01-01,10,1,115,115,K
2023-01-01,14,70,115,8050,K
2023-01-01,16,1,95,95,K
2023-01-01,17,4,95,380,K
2023-01-01,19,30,115,3450,K
2023-01-01,20,32,65,2080,K
2023-01-01,21,1,65,65,K
2023-01-01,40,75,115,8625,K
2023-01-01,41,1,0,0,K
2023-01-01,46,20,115,2300,K
2023-01-01,48,1,115,115,K
2023-01-01,50,6,115,690,K
2023-01-01,51,7,115,805,K
2023-01-01,53,1,115,115,K
2023-01-01,67,4,165,660,K
2023-01-01,68,3,65,195,K
2023-01-01,70,59,65,3835,K
2023-01-01,71,184,65,11960,K
2023-01-01,73,1,65,65,K
2023-01-01,74,15,65,975,K
2023-01-01,78,4,65,260,K
2023-01-01,98,40,95,3800,K
2023-01-01,40,4,115,460,Kings
2023-01-01,66,6,65,390,Kings
2023-01-01,7,165,50,8250,MN
2023-01-01,36,2393,50,119650,MN
2023-01-01,10,25,115,2875,NY
2023-01-01,11,8,115,920,NY
2023-01-01,13,37,115,4255,NY
2023-01-01,14,218,115,25070,NY
2023-01-01,16,27,95,2565,NY
2023-01-01,17,34,95,3230,NY
2023-01-01,19,96,115,11040,NY
2023-01-01,20,90,65,5850,NY
2023-01-01,21,2,65,130,NY
2023-01-01,22,40,115,4600,NY
2023-01-01,40,223,115,25645,NY
2023-01-01,41,3,0,0,NY
2023-01-01,46,124,115,14260,NY
2023-01-01,48,12,115,1380,NY
2023-01-01,50,23,115,2645,NY
2023-01-01,51,1,115,115,NY
2023-01-01,53,17,115,1955,NY
2023-01-01,61,2,65,130,NY
2023-01-01,64,21,95,1995,NY
2023-01-01,67,1,165,165,NY
2023-01-01,70,135,65,8775,NY
2023-01-01,71,415,65,26975,NY
2023-01-01,72,1,65,65,NY
2023-01-01,73,2,65,130,NY
2023-01-01,74,56,65,3640,NY
2023-01-01,75,6,65,390,NY
2023-01-01,78,1,65,65,NY
2023-01-01,79,1,115,115,NY
2023-01-01,82,1,115,115,NY
2023-01-01,83,1,65,65,NY
2023-01-01,87,1,65,65,NY
2023-01-01,98,6,95,570,NY
2023-01-01,6,3,265,795,Q
2023-01-01,11,3,115,345,Q
2023-01-01,13,14,115,1610,Q
2023-01-01,14,88,115,10120,Q
2023-01-01,17,3,95,285,Q
2023-01-01,19,48,115,5520,Q
2023-01-01,20,97,65,6305,Q
2023-01-01,22,3,115,345,Q
2023-01-01,40,136,115,15640,Q
2023-01-01,41,1,0,0,Q
2023-01-01,46,16,115,1840,Q
2023-01-01,50,11,115,1265,Q
2023-01-01,51,5,115,575,Q
2023-01-01,53,1,115,115,Q
2023-01-01,61,1,65,65,Q
2023-01-01,63,9,95,855,Q
2023-01-01,66,1,65,65,Q
2023-01-01,67,7,165,1155,Q
2023-01-01,68,3,65,195,Q
2023-01-01,70,74,65,4810,Q
2023-01-01,71,401,65,26065,Q
2023-01-01,74,32,65,2080,Q
2023-01-01,75,3,65,195,Q
2023-01-01,78,4,65,260,Q
2023-01-01,91,1,65,65,Q
2023-01-01,98,57,95,5415,Q
2023-01-01,99,1,105,105,Q
2023-01-01,7,363,50,18150,QN
2023-01-01,36,8960,50,448000,QN
2023-01-01,16,1,95,95,Qns
2023-01-01,40,4,115,460,Qns
2023-01-01,50,2,115,230,Qns
2023-01-01,78,2,65,130,Qns
2023-01-01,17,2,95,190,R
2023-01-01,40,1,115,115,R
2023-01-01,46,3,115,345,R
2023-01-01,62,2,65,130,R
2023-01-01,66,1,65,65,R
2023-01-01,98,4,95,380,R
2023-01-01,99,1,105,105,R
2023-01-01,7,103,50,5150,ST
2023-01-01,36,1258,50,62900,ST
2023-01-02,7,481,50,24050,BK
2023-01-02,36,6804,50,340200,BK
2023-01-02,7,136,50,6800,BX
2023-01-02,10,2,115,230,BX
2023-01-02,14,102,115,11730,BX
2023-01-02,16,4,95,380,BX
2023-01-02,17,2,95,190,BX
2023-01-02,19,32,115,3680,BX
2023-01-02,20,75,65,4875,BX
2023-01-02,36,3067,50,153350,BX
2023-01-02,39,1,65,65,BX
2023-01-02,40,119,115,13685,BX
2023-01-02,45,1,115,115,BX
2023-01-02,46,62,115,7130,BX
2023-01-02,48,7,115,805,BX
2023-01-02,50,10,115,1150,BX
2023-01-02,51,8,115,920,BX
2023-01-02,53,14,115,1610,BX
2023-01-02,56,15,115,1725,BX
2023-01-02,62,1,65,65,BX
2023-01-02,66,1,65,65,BX
2023-01-02,67,2,165,330,BX
2023-01-02,68,4,65,260,BX
2023-01-02,70,52,65,3380,BX
2023-01-02,71,216,65,14040,BX
2023-01-02,74,26,65,1690,BX
2023-01-02,75,4,65,260,BX
2023-01-02,78,3,65,195,BX
2023-01-02,87,2,65,130,BX
2023-01-02,98,21,95,1995,BX
2023-01-02,99,1,105,105,BX
2023-01-02,61,1,65,65,Bronx
2023-01-02,66,9,65,585,Bronx
2023-01-02,6,1,265,265,K
2023-01-02,9,1,115,115,K
2023-01-02,10,1,115,115,K
2023-01-02,11,1,115,115,K
2023-01-02,14,82,115,9430,K
2023-01-02,16,3,95,285,K
2023-01-02,17,8,95,760,K
2023-01-02,19,32,115,3680,K
2023-01-02,20,26,65,1690,K
2023-01-02,21,1,65,65,K
2023-01-02,40,135,115,15525,K
2023-01-02,41,1,0,0,K
2023-01-02,45,1,115,115,K
2023-01-02,46,37,115,4255,K
2023-01-02,48,2,115,230,K
2023-01-02,50,14,115,1610,K
2023-01-02,51,7,115,805,K
2023-01-02,53,2,115,230,K
2023-01-02,56,2,115,230,K
2023-01-02,60,1,65,65,K
2023-01-02,61,1,65,65,K
2023-01-02,67,2,165,330,K
2023-01-02,70,113,65,7345,K
2023-01-02,71,486,65,31590,K
2023-01-02,72,1,65,65,K
2023-01-02,74,54,65,3510,K
2023-01-02,75,4,65,260,K
2023-01-02,78,8,65,520,K
2023-01-02,82,2,115,230,K
2023-01-02,83,1,65,65,K
2023-01-02,98,43,95,4085,K
2023-01-02,99,1,105,105,K
2023-01-02,40,2,115,230,Kings
2023-01-02,66,3,65,195,Kings
2023-01-02,7,33,50,1650,MN
2023-01-02,36,1942,50,97100,MN
2023-01-02,9,2,115,230,NY
2023-01-02,10,27,115,3105,NY
2023-01-02,11,2,115,230,NY
2023-01-02,13,27,115,3105,NY
2023-01-02,14,238,115,27370,NY
2023-01-02,16,14,95,1330,NY
2023-01-02,17,46,95,4370,NY
2023-01-02,18,8,115,920,NY
2023-01-02,19,133,115,15295,NY
2023-01-02,20,116,65,7540,NY
2023-01-02,21,2,65,130,NY
2023-01-02,22,13,115,1495,NY
2023-01-02,24,1,65,65,NY
2023-01-02,31,7,115,805,NY
2023-01-02,33,1,65,65,NY
2023-01-02,39,1,65,65,NY
2023-01-02,40,177,115,20355,NY
2023-01-02,46,71,115,8165,NY
2023-01-02,47,6,115,690,NY
2023-01-02,48,9,115,1035,NY
2023-01-02,50,10,115,1150,NY
2023-01-02,51,6,115,690,NY
2023-01-02,53,16,115,1840,NY
2023-01-02,54,2,115,230,NY
2023-01-02,61,1,65,65,NY
2023-01-02,63,1,95,95,NY
2023-01-02,64,10,95,950,NY
2023-01-02,67,2,165,330,NY
2023-01-02,68,1,65,65,NY
2023-01-02,70,107,65,6955,NY
2023-01-02,71,308,65,20020,NY
2023-01-02,74,56,65,3640,NY
2023-01-02,75,3,65,195,NY
2023-01-02,78,9,65,585,NY
2023-01-02,84,12,65,780,NY
2023-01-02,98,2,95,190,NY
2023-01-02,6,7,265,1855,Q
2023-01-02,14,61,115,7015,Q
2023-01-02,16,18,95,1710,Q
2023-01-02,17,4,95,380,Q
2023-01-02,19,30,115,3450,Q
2023-01-02,20,87,65,5655,Q
2023-01-02,25,2,115,230,Q
2023-01-02,26,2,115,230,Q
2023-01-02,40,97,115,11155,Q
2023-01-02,46,6,115,690,Q
2023-01-02,48,2,115,230,Q
2023-01-02,50,24,115,2760,Q
2023-01-02,51,1,115,115,Q
2023-01-02,53,2,115,230,Q
2023-01-02,60,1,65,65,Q
2023-01-02,61,1,65,65,Q
2023-01-02,62,2,65,130,Q
2023-01-02,67,1,165,165,Q
2023-01-02,68,5,65,325,Q
2023-01-02,70,115,65,7475,Q
2023-01-02,71,410,65,26650,Q
2023-01-02,74,20,65,1300,Q
2023-01-02,75,2,65,130,Q
2023-01-02,78,27,65,1755,Q
2023-01-02,84,2,65,130,Q
2023-01-02,98,42,95,3990,Q
2023-01-02,99,1,105,105,Q
2023-01-02,7,288,50,14400,QN
2023-01-02,36,6963,50,348150,QN
2023-01-02,40,1,115,115,Qns
2023-01-02,50,1,115,115,Qns
2023-01-02,27,3,180,540,R
2023-01-02,40,3,115,345,R
2023-01-02,51,1,115,115,R
2023-01-02,62,1,65,65,R
2023-01-02,66,1,65,65,R
2023-01-02,67,1,165,165,R
2023-01-02,71,1,65,65,R
2023-01-02,98,2,95,190,R
2023-01-02,66,1,65,65,Rich
2023-01-02,7,75,50,3750,ST
2023-01-02,36,1086,50,54300,ST
2023-01-03,5,351,50,17550,BK
2023-01-03,7,470,50,23500,BK
2023-01-03,12,72,50,3600,BK
2023-01-03,36,4009,50,200450,BK
2023-01-03,5,227,50,11350,BX
2023-01-03,6,1,265,265,BX
2023-01-03,7,177,50,8850,BX
2023-01-03,10,12,115,1380,BX
2023-01-03,13,1,115,115,BX
2023-01-03,14,221,115,25415,BX
2023-01-03,16,26,95,2470,BX
2023-01-03,17,56,95,5320,BX
2023-01-03,18,3,115,345,BX
2023-01-03,19,61,115,7015,BX
2023-01-03,20,136,65,8840,BX
2023-01-03,21,668,65,43420,BX
2023-01-03,36,1786,50,89300,BX
2023-01-03,37,27,65,1755,BX
2023-01-03,38,174,65,11310,BX
2023-01-03,39,2,65,130,BX
2023-01-03,40,258,115,29670,BX
2023-01-03,41,3,0,0,BX
2023-01-03,46,162,115,18630,BX
2023-01-03,48,28,115,3220,BX
2023-01-03,50,22,115,2530,BX
2023-01-03,51,12,115,1380,BX
2023-01-03,52,1,115,115,BX
2023-01-03,53,9,115,1035,BX
2023-01-03,56,7,115,805,BX
2023-01-03,60,1,65,65,BX
2023-01-03,61,1,65,65,BX
2023-01-03,62,3,65,195,BX
2023-01-03,66,12,65,780,BX
2023-01-03,67,4,165,660,BX
2023-01-03,68,1,65,65,BX
2023-01-03,70,132,65,8580,BX
2023-01-03,71,403,65,26195,BX
2023-01-03,72,3,65,195,BX
2023-01-03,74,77,65,5005,BX
2023-01-03,75,17,65,1105,BX
2023-01-03,78,13,65,845,BX
2023-01-03,82,5,115,575,BX
2023-01-03,83,1,65,65,BX
2023-01-03,84,1,65,65,BX
2023-01-03,98,11,95,1045,BX
2023-01-03,6,1,265,265,Bronx
2023-01-03,14,2,115,230,Bronx
2023-01-03,20,8,65,520,Bronx
2023-01-03,21,320,65,20800,Bronx
2023-01-03,40,7,115,805,Bronx
2023-01-03,46,8,115,920,Bronx
2023-01-03,48,2,115,230,Bronx
2023-01-03,50,7,115,805,Bronx
2023-01-03,66,24,65,1560,Bronx
2023-01-03,71,4,65,260,Bronx
2023-01-03,74,1,65,65,Bronx
2023-01-03,83,1,65,65,Bronx
2023-01-03,85,2,65,130,Bronx
2023-01-03,10,16,115,1840,K
2023-01-03,11,1,115,115,K
2023-01-03,13,2,115,230,K
2023-01-03,14,430,115,49450,K
2023-01-03,16,150,95,14250,K
